ID,figure,size,color,rotation_angle,center_x,center_y
5656,hexagon,14,#800080,50,1,-1
5657,circle,14,#00FF00,0,-1,-1
5658,pentagon,5,#00FFFF,6,7,1
5659,hexagon,14,#008000,24,-2,-2
5660,pentagon,5,#00FFFF,58,9,1
5661,square,14,#0000FF,70,1,0
5662,triangle,10,#FF00FF,79,-3,4
5663,hexagon,14,#00FFFF,20,-2,-1
5664,triangle,7,#0000FF,66,2,1
5665,pentagon,8,#FFFF00,25,6,-8
5666,hexagon,8,#0000FF,54,-2,0
5667,triangle,9,#000000,97,2,-1
5668,hexagon,9,#FF00FF,15,3,-5
5669,hexagon,5,#00FFFF,54,4,-1
5670,hexagon,6,#00FF00,25,-1,4
5671,square,14,#0000FF,33,0,-1
5672,triangle,5,#00FFFF,20,-11,-1
5673,circle,12,#FF00FF,0,-1,0
5674,pentagon,14,#000000,19,0,1
5675,hexagon,13,#0000FF,26,1,-1
5676,pentagon,7,#000000,61,2,-7
5677,hexagon,12,#FF00FF,2,-4,2
5678,square,10,#800080,76,-6,2
5679,triangle,11,#FFA500,54,0,4
5680,triangle,15,#FFA500,67,-1,0
5681,circle,12,#00FFFF,0,-4,-1
5682,circle,13,#FF0000,0,0,-3
5683,pentagon,14,#000000,70,1,-1
5684,square,5,#008000,13,7,-8
5685,pentagon,6,#FFFF00,20,6,1
5686,circle,13,#000000,0,-2,2
5687,circle,6,#FF00FF,0,-3,-6
5688,triangle,5,#008000,82,0,-1
5689,circle,13,#FFA500,0,-3,1
5690,square,6,#008000,73,-10,2
5691,hexagon,6,#FFFF00,8,-8,8
5692,hexagon,9,#0000FF,58,-4,-1
5693,circle,9,#008000,0,-5,1
5694,triangle,14,#FFFF00,36,0,1
5695,pentagon,12,#00FF00,8,-2,-2
5696,pentagon,13,#00FFFF,9,-3,1
5697,circle,15,#0000FF,0,0,-1
5698,triangle,11,#00FF00,10,0,3
5699,hexagon,11,#000000,56,3,-2
5700,pentagon,12,#0000FF,25,3,0
5701,pentagon,14,#FFFF00,65,0,-2
5702,hexagon,6,#FF0000,12,3,1
5703,square,12,#00FFFF,32,1,-2
5704,square,11,#0000FF,8,4,-5
5705,pentagon,14,#00FF00,24,1,1
5706,circle,11,#FFFF00,0,-5,-1
5707,square,10,#FFA500,33,2,4
5708,circle,12,#00FF00,0,1,2
5709,circle,13,#00FF00,0,2,1
5710,circle,12,#FFFF00,0,-4,1
5711,pentagon,10,#FF0000,65,2,-2
5712,triangle,6,#FFA500,39,4,5
5713,square,12,#FF00FF,21,2,-1
5714,pentagon,6,#00FF00,12,-9,6
5715,triangle,5,#800080,5,5,-7
5716,square,11,#00FF00,16,-2,4
5717,circle,7,#008000,0,2,2
5718,square,11,#FF00FF,23,2,-4
5719,pentagon,14,#FF0000,49,1,-1
5720,hexagon,12,#0000FF,39,0,-1
5721,circle,11,#FFFF00,0,4,-3
5722,triangle,15,#FF00FF,100,0,-1
5723,hexagon,12,#FFFF00,35,-3,1
5724,triangle,13,#008000,23,1,-3
5725,pentagon,14,#FFFF00,39,0,1
5726,pentagon,5,#00FFFF,6,2,-7
5727,square,14,#FFA500,30,0,1
5728,pentagon,7,#800080,64,1,2
5729,square,9,#FFA500,76,-1,1
5730,triangle,7,#FFFF00,116,5,7
5731,circle,6,#00FFFF,0,7,-7
5732,hexagon,8,#000000,29,-8,-5
5733,hexagon,7,#800080,24,-1,-8
5734,circle,11,#000000,0,0,-3
5735,square,5,#FF00FF,2,-6,9
5736,hexagon,15,#800080,21,-1,0
5737,circle,15,#000000,0,0,0
5738,pentagon,8,#000000,35,5,3
5739,triangle,6,#008000,114,-8,-8
5740,circle,8,#00FF00,0,-6,3
5741,hexagon,5,#00FF00,1,9,-3
5742,square,13,#800080,32,2,-3
5743,triangle,12,#008000,97,-1,2
5744,hexagon,5,#008000,47,-7,9
5745,triangle,12,#008000,113,0,-2
5746,square,7,#FFA500,67,7,2
5747,pentagon,10,#FF0000,64,-1,2
5748,hexagon,14,#000000,35,1,-1
5749,circle,11,#008000,0,-1,0
5750,circle,9,#000000,0,-6,3
5751,pentagon,14,#008000,11,-1,1
5752,hexagon,9,#00FF00,42,-1,-7
5753,square,5,#800080,85,0,10
5754,pentagon,11,#00FFFF,61,-2,-1
5755,square,12,#800080,72,1,-4
5756,hexagon,5,#FFFF00,14,6,-5
5757,hexagon,8,#FF0000,35,-3,0
5758,triangle,12,#00FF00,70,2,2
5759,pentagon,15,#FFFF00,43,0,-1
5760,triangle,15,#0000FF,60,0,-1
5761,hexagon,5,#FFFF00,0,-11,-9
5762,pentagon,10,#FF00FF,50,-2,-3
5763,circle,15,#00FF00,0,0,0
5764,pentagon,15,#00FF00,42,0,-1
5765,triangle,8,#00FFFF,42,7,-6
5766,square,13,#00FFFF,11,0,2
5767,hexagon,10,#FF0000,25,1,2
5768,pentagon,11,#FF0000,64,1,-2
5769,hexagon,7,#FF00FF,7,1,2
5770,circle,14,#00FF00,0,-1,-2
5771,circle,5,#0000FF,0,6,9
5772,triangle,15,#FF00FF,69,-1,-1
5773,triangle,15,#000000,32,0,0
5774,square,5,#0000FF,41,8,-2
5775,square,12,#000000,20,-4,-3
5776,square,6,#000000,84,-4,9
5777,circle,9,#FFA500,0,-5,-2
5778,pentagon,7,#00FF00,24,2,5
5779,triangle,12,#FF0000,88,-3,0
5780,triangle,8,#FF00FF,85,-1,-4
5781,triangle,15,#FF00FF,86,-1,0
5782,pentagon,13,#FFA500,23,-1,-2
5783,square,10,#800080,77,4,-5
5784,hexagon,8,#FF0000,53,5,-4
5785,hexagon,10,#800080,59,3,-4
5786,circle,11,#FF0000,0,-1,-4
5787,pentagon,5,#FF0000,48,-7,-8
5788,pentagon,14,#800080,23,0,-2
5789,square,9,#00FFFF,55,0,-6
5790,square,6,#00FFFF,46,7,-2
5791,square,15,#008000,56,-1,0
5792,triangle,14,#0000FF,19,0,-1
5793,hexagon,9,#FFA500,27,-7,4
5794,square,9,#00FF00,52,0,-5
5795,triangle,14,#FF00FF,66,-1,0
5796,square,10,#FF0000,2,-5,-5
5797,square,11,#800080,49,4,2
5798,square,8,#008000,74,2,-5
5799,hexagon,5,#800080,36,2,7
5800,triangle,5,#00FF00,13,-7,6
5801,square,9,#FF0000,11,-3,-3
5802,hexagon,5,#00FFFF,30,-2,8
5803,pentagon,15,#000000,64,0,0
5804,hexagon,14,#00FFFF,50,0,-2
5805,square,6,#FF00FF,69,-5,-6
5806,triangle,5,#FFA500,68,-8,-3
5807,triangle,6,#000000,8,3,-6
5808,triangle,13,#00FF00,42,-3,0
5809,circle,5,#FF0000,0,-10,-9
5810,circle,7,#FF0000,0,2,1
5811,pentagon,10,#FF00FF,53,-1,-6
5812,pentagon,7,#00FFFF,33,-5,2
5813,circle,12,#FFFF00,0,-4,1
5814,circle,7,#FF00FF,0,-8,1
5815,circle,6,#800080,0,-1,7
5816,square,13,#008000,40,-1,1
5817,circle,9,#FFA500,0,1,-7
5818,square,15,#800080,21,-1,0
5819,hexagon,7,#FF0000,11,-7,2
5820,square,14,#FFFF00,31,1,0
5821,circle,5,#FF0000,0,-7,-9
5822,triangle,13,#FF0000,111,2,1
5823,circle,10,#00FFFF,0,-3,-3
5824,hexagon,8,#FFA500,17,3,-1
5825,circle,15,#FFFF00,0,-1,0
5826,triangle,14,#000000,15,-1,-2
5827,circle,8,#FF0000,0,5,3
5828,square,11,#00FF00,3,-3,0
5829,hexagon,15,#FF00FF,48,-1,-1
5830,pentagon,7,#0000FF,2,8,1
5831,circle,15,#FFFF00,0,0,-1
5832,hexagon,15,#800080,17,0,-1
5833,pentagon,7,#FF00FF,20,-6,4
5834,square,14,#FF0000,35,1,-2
5835,pentagon,14,#008000,62,0,0
5836,circle,7,#000000,0,3,8
5837,hexagon,15,#00FF00,55,-1,-1
5838,circle,11,#0000FF,0,3,1
5839,pentagon,8,#00FFFF,3,-6,5
5840,hexagon,15,#00FFFF,18,-1,-1
5841,triangle,8,#008000,77,-6,-7
5842,pentagon,9,#00FF00,19,0,6
5843,hexagon,14,#008000,55,1,0
5844,square,11,#0000FF,51,-1,-4
5845,square,10,#FFA500,49,5,4
5846,pentagon,5,#00FF00,38,7,-10
5847,square,11,#00FFFF,8,-4,-2
5848,circle,10,#800080,0,-2,-1
5849,circle,10,#0000FF,0,-1,4
5850,circle,6,#0000FF,0,-10,-4
5851,pentagon,7,#FFA500,67,7,-1
5852,hexagon,14,#0000FF,46,1,0
5853,pentagon,9,#00FFFF,0,-2,-2
5854,circle,11,#0000FF,0,-5,0
5855,square,8,#FFA500,29,7,3
5856,circle,9,#008000,0,1,4
5857,triangle,8,#FF0000,28,-5,7
5858,triangle,14,#FF00FF,36,1,-1
5859,hexagon,11,#008000,27,-2,0
5860,hexagon,13,#FFFF00,3,2,0
5861,hexagon,10,#FFFF00,0,-5,-3
5862,circle,6,#000000,0,-3,7
5863,hexagon,15,#FF0000,3,-1,-1
5864,pentagon,9,#008000,0,-6,-6
5865,pentagon,7,#FFA500,15,5,-8
5866,circle,10,#800080,0,-6,-4
5867,square,9,#00FF00,6,0,6
5868,circle,14,#FF0000,0,-2,0
5869,square,6,#00FFFF,26,9,-4
5870,hexagon,10,#00FF00,51,0,5
5871,triangle,8,#0000FF,77,-3,4
5872,triangle,13,#00FF00,65,1,2
5873,square,8,#800080,3,3,1
5874,square,7,#800080,55,6,6
5875,pentagon,12,#0000FF,30,-3,1
5876,pentagon,10,#FFA500,40,2,4
5877,triangle,12,#FFA500,72,3,-3
5878,square,8,#00FFFF,56,-5,1
5879,circle,11,#008000,0,0,-5
5880,triangle,12,#FF00FF,114,3,0
5881,circle,5,#00FFFF,0,-6,2
5882,square,7,#000000,16,5,-8
5883,pentagon,11,#000000,34,-5,-4
5884,hexagon,15,#00FF00,0,0,-1
5885,hexagon,15,#00FF00,28,0,-1
5886,hexagon,11,#00FF00,37,-5,-1
5887,circle,8,#FFFF00,0,1,-3
5888,square,11,#00FF00,59,3,2
5889,triangle,9,#0000FF,72,-6,2
5890,hexagon,11,#00FF00,33,2,-5
5891,square,12,#FF00FF,26,-2,3
5892,square,6,#000000,63,-1,7
5893,triangle,9,#800080,16,-5,-2
5894,circle,6,#FF0000,0,3,-5
5895,triangle,7,#008000,97,7,-6
5896,circle,5,#000000,0,-8,9
5897,circle,9,#008000,0,4,-3
5898,square,11,#800080,15,-2,-5
5899,circle,11,#00FF00,0,0,0
5900,triangle,7,#00FF00,12,-5,6
5901,square,7,#0000FF,22,-9,2
5902,hexagon,6,#00FFFF,8,-1,-9
5903,hexagon,15,#FFA500,52,-1,-1
5904,square,12,#FFFF00,87,0,-4
5905,triangle,9,#FF0000,90,0,-6
5906,circle,5,#800080,0,9,6
5907,hexagon,8,#FFA500,14,-1,-1
5908,pentagon,5,#008000,8,2,0
5909,circle,13,#FFFF00,0,-3,-1
5910,circle,8,#008000,0,-4,0
5911,pentagon,12,#FFFF00,8,2,-2
5912,hexagon,11,#FF0000,43,-5,-3
5913,pentagon,8,#800080,51,4,-5
5914,circle,15,#000000,0,0,-1
5915,pentagon,12,#00FFFF,29,3,-3
5916,hexagon,10,#800080,34,-3,-1
5917,square,11,#FFFF00,54,-4,-3
5918,circle,13,#008000,0,-2,-2
5919,square,9,#0000FF,11,1,1
5920,pentagon,11,#FFFF00,21,-4,0
5921,triangle,8,#008000,104,6,5
5922,hexagon,14,#000000,59,-1,0
5923,square,12,#0000FF,61,2,-1
5924,hexagon,6,#000000,33,4,-4
5925,hexagon,15,#00FF00,39,0,0
5926,square,6,#FFFF00,79,7,-9
5927,hexagon,12,#800080,26,-1,1
5928,circle,7,#008000,0,-4,0
5929,pentagon,7,#FFA500,58,-5,-5
5930,circle,8,#00FF00,0,6,2
5931,square,5,#FFFF00,8,2,-3
5932,triangle,15,#FFFF00,98,-1,-1
5933,hexagon,7,#800080,27,7,-3
5934,square,13,#00FF00,52,0,-3
5935,pentagon,15,#00FFFF,61,-1,0
5936,circle,11,#000000,0,-3,-5
5937,circle,9,#FF00FF,0,-2,-3
5938,square,6,#0000FF,21,-9,3
5939,triangle,14,#800080,61,0,-2
5940,square,13,#FFFF00,27,-2,1
5941,hexagon,6,#00FF00,34,-10,-9
5942,circle,7,#00FFFF,0,-3,0
5943,pentagon,13,#800080,36,-3,1
5944,square,6,#FFA500,69,-10,-8
5945,square,7,#00FF00,76,-1,7
5946,hexagon,12,#00FFFF,52,3,-2
5947,square,7,#0000FF,29,-1,7
5948,square,9,#00FF00,55,0,-7
5949,hexagon,6,#FFA500,31,-4,-1
5950,square,14,#FF00FF,65,0,-1
5951,triangle,7,#800080,105,-9,4
5952,hexagon,8,#FFA500,45,2,7
5953,triangle,9,#0000FF,19,6,4
5954,triangle,5,#FF00FF,63,-7,0
5955,pentagon,12,#800080,40,1,-3
5956,circle,9,#FF0000,0,-7,-6
5957,square,8,#FFFF00,7,-4,-8
5958,triangle,11,#00FF00,38,3,3
5959,pentagon,10,#FF00FF,33,-4,4
5960,pentagon,10,#800080,22,-3,-5
5961,pentagon,15,#008000,5,-1,0
5962,circle,13,#FFFF00,0,2,0
5963,pentagon,6,#00FF00,17,-1,-9
5964,square,12,#FF00FF,35,-1,-4
5965,square,12,#008000,29,-2,2
5966,triangle,8,#FFA500,19,0,-5
5967,hexagon,9,#800080,1,3,2
5968,circle,6,#FF00FF,0,0,6
5969,triangle,9,#FF0000,70,1,3
5970,hexagon,13,#00FFFF,28,0,-1
5971,circle,10,#FFA500,0,0,-4
5972,hexagon,14,#008000,51,-1,0
5973,circle,7,#00FFFF,0,0,2
5974,circle,9,#FFA500,0,-6,-7
5975,triangle,6,#0000FF,39,-4,5
5976,hexagon,14,#FF00FF,32,-1,-2
5977,pentagon,9,#00FFFF,57,1,-1
5978,triangle,6,#0000FF,18,1,9
5979,hexagon,15,#008000,48,-1,0
5980,hexagon,13,#000000,16,0,2
5981,circle,6,#FFA500,0,5,5
5982,triangle,5,#FFA500,24,-9,-7
5983,square,12,#000000,35,-4,-1
5984,triangle,9,#FF00FF,22,-6,2
5985,hexagon,9,#800080,58,-3,-1
5986,hexagon,8,#00FF00,12,5,3
5987,circle,15,#000000,0,-1,-1
5988,circle,11,#FF00FF,0,-3,2
5989,circle,10,#FFFF00,0,-1,-2
5990,hexagon,7,#008000,13,-8,7
5991,pentagon,5,#00FFFF,17,8,0
5992,circle,6,#00FFFF,0,6,-10
5993,circle,9,#00FF00,0,-2,5
5994,square,7,#FFFF00,64,0,-3
5995,hexagon,14,#000000,54,-2,0
5996,square,5,#FF00FF,66,-1,8
5997,circle,5,#000000,0,8,-11
5998,circle,8,#00FFFF,0,3,-8
5999,square,10,#FFA500,79,-3,-5
6000,triangle,8,#0000FF,69,-3,0
6001,square,14,#FF0000,57,-2,1
6002,triangle,13,#0000FF,87,2,2
6003,triangle,14,#0000FF,66,0,-2
6004,pentagon,9,#00FFFF,45,6,-2
6005,triangle,7,#FF00FF,3,8,-4
6006,square,12,#800080,22,0,-1
6007,circle,15,#FFA500,0,0,-1
6008,square,9,#008000,61,1,5
6009,triangle,5,#00FF00,72,6,6
6010,triangle,8,#008000,40,-3,7
6011,square,5,#800080,21,0,10
6012,triangle,6,#000000,58,-3,-4
6013,square,15,#000000,27,0,0
6014,square,7,#FFA500,27,3,6
6015,circle,9,#008000,0,0,-5
6016,pentagon,7,#000000,22,-9,3
6017,pentagon,9,#800080,56,-5,-2
6018,square,7,#008000,80,-4,-8
6019,pentagon,13,#0000FF,18,0,-2
6020,triangle,5,#FF00FF,54,7,6
6021,pentagon,15,#FFA500,17,0,-1
6022,triangle,13,#000000,119,-1,-3
6023,hexagon,7,#00FF00,53,-9,1
6024,square,13,#000000,62,-3,-3
6025,triangle,12,#0000FF,43,-3,-3
6026,triangle,14,#800080,104,1,-1
6027,square,14,#FF0000,72,-1,0
6028,hexagon,8,#0000FF,33,-2,5
6029,hexagon,10,#FFFF00,45,-5,-2
6030,circle,6,#FF0000,0,1,9
6031,square,10,#00FF00,65,-1,5
6032,pentagon,7,#FFA500,14,-6,-6
6033,triangle,14,#000000,117,0,-2
6034,square,15,#0000FF,43,-1,-1
6035,circle,10,#000000,0,-2,-1
6036,hexagon,5,#FFFF00,54,-11,8
6037,triangle,9,#FF0000,17,0,4
6038,circle,10,#FF00FF,0,2,1
6039,pentagon,14,#FF00FF,51,0,1
6040,circle,15,#FFFF00,0,-1,-1
6041,triangle,8,#FF0000,8,-7,-6
6042,pentagon,7,#FFA500,27,-6,3
6043,hexagon,14,#000000,21,1,1
6044,triangle,10,#00FFFF,18,-6,-3
6045,triangle,13,#FF0000,57,-3,-1
6046,pentagon,11,#FFA500,32,-4,1
6047,pentagon,13,#800080,65,-2,-3
6048,pentagon,9,#800080,50,-3,5
6049,square,14,#FFFF00,11,-2,-1
6050,circle,10,#00FF00,0,-1,1
6051,pentagon,8,#00FFFF,52,3,-6
6052,triangle,12,#FFA500,44,0,3
6053,square,9,#00FF00,79,1,-5
6054,triangle,6,#FFA500,21,-7,1
6055,circle,5,#FFFF00,0,5,6
6056,square,6,#00FF00,15,-2,1
6057,hexagon,8,#FF00FF,20,-3,6
6058,pentagon,9,#000000,32,5,2
6059,circle,9,#000000,0,-4,0
6060,circle,12,#FFA500,0,-3,3
6061,square,12,#FFFF00,39,2,3
6062,hexagon,15,#0000FF,10,0,-1
6063,pentagon,9,#FFFF00,5,-3,6
6064,square,8,#0000FF,76,-2,0
6065,circle,7,#FF00FF,0,3,-8
6066,triangle,8,#FF00FF,94,0,6
6067,triangle,8,#00FF00,82,5,-1
6068,hexagon,8,#FFA500,33,1,-1
6069,hexagon,5,#000000,38,-2,9
6070,triangle,11,#000000,19,4,-1
6071,hexagon,5,#FFFF00,11,5,0
6072,triangle,5,#800080,42,0,7
6073,square,8,#FFFF00,11,-8,1
6074,pentagon,5,#00FF00,54,7,5
6075,pentagon,6,#800080,35,9,5
6076,triangle,12,#0000FF,93,-3,-3
6077,triangle,12,#FFFF00,15,-1,3
6078,hexagon,13,#FF00FF,39,0,0
6079,circle,11,#FFA500,0,0,3
6080,triangle,7,#FF0000,78,1,5
6081,hexagon,8,#008000,41,-5,-7
6082,square,12,#00FFFF,13,-3,-4
6083,triangle,9,#00FF00,61,-2,-5
6084,square,15,#FFFF00,32,0,-1
6085,pentagon,14,#FF0000,32,-2,-1
6086,square,9,#FFA500,1,-1,-2
6087,pentagon,5,#FFFF00,44,-7,9
6088,hexagon,9,#00FFFF,59,-5,-7
6089,circle,6,#FFFF00,0,9,4
6090,pentagon,6,#FF0000,23,-1,-8
6091,pentagon,8,#0000FF,1,1,-6
6092,triangle,10,#FF00FF,55,5,2
6093,pentagon,15,#800080,47,0,-1
6094,circle,7,#00FF00,0,-4,-7
6095,hexagon,10,#000000,58,5,2
6096,circle,14,#008000,0,0,-1
6097,pentagon,5,#008000,64,-8,4
6098,hexagon,6,#FF00FF,0,-5,3
6099,hexagon,8,#008000,39,-8,-7
6100,circle,7,#0000FF,0,2,3
6101,pentagon,9,#00FFFF,35,-6,-5
6102,square,14,#00FFFF,81,-2,0
6103,pentagon,9,#000000,7,3,5
6104,circle,8,#FFA500,0,-1,5
6105,circle,10,#0000FF,0,5,-4
6106,hexagon,7,#000000,47,-5,-7
6107,triangle,9,#FFFF00,45,-3,-2
6108,pentagon,8,#800080,63,4,-6
6109,triangle,7,#000000,19,8,1
6110,pentagon,10,#800080,40,-3,1
6111,pentagon,11,#800080,24,3,-2
6112,square,11,#00FFFF,1,4,1
6113,hexagon,15,#800080,7,-1,-1
6114,pentagon,14,#FF00FF,68,1,-2
6115,hexagon,8,#000000,46,0,-8
6116,circle,12,#008000,0,1,-1
6117,pentagon,8,#008000,22,-5,-2
6118,circle,11,#FF00FF,0,-2,0
6119,square,15,#800080,67,0,0
6120,triangle,11,#00FF00,9,-2,4
6121,pentagon,12,#FF00FF,42,-2,0
6122,square,10,#FF00FF,29,5,-3
6123,hexagon,15,#000000,19,-1,0
6124,circle,12,#008000,0,-2,1
6125,pentagon,6,#800080,66,-8,-7
6126,square,10,#00FF00,85,5,5
6127,pentagon,5,#FFA500,57,5,1
6128,circle,5,#00FFFF,0,6,3
6129,circle,8,#008000,0,0,-6
6130,triangle,10,#FF00FF,38,5,-1
6131,circle,10,#800080,0,-4,5
6132,square,14,#FF00FF,5,0,0
6133,square,12,#00FFFF,30,0,3
6134,circle,14,#00FFFF,0,-1,-1
6135,pentagon,14,#00FF00,36,-2,0
6136,pentagon,6,#FFFF00,32,-10,-1
6137,triangle,14,#00FF00,26,-2,1
6138,circle,9,#FFA500,0,-2,-1
6139,triangle,8,#0000FF,105,5,1
6140,hexagon,8,#000000,26,3,3
6141,triangle,5,#FFFF00,55,-5,10
6142,pentagon,15,#FFFF00,23,-1,0
6143,pentagon,11,#000000,30,2,-2
6144,hexagon,5,#800080,5,10,6
6145,pentagon,10,#00FFFF,55,1,4
6146,square,12,#800080,6,-3,-1
6147,hexagon,13,#FFA500,10,2,2
6148,square,14,#000000,61,0,1
6149,hexagon,13,#000000,5,-2,2
6150,hexagon,7,#0000FF,51,-9,1
6151,square,15,#00FFFF,11,0,-1
6152,square,9,#FF00FF,18,-2,-5
6153,pentagon,15,#008000,34,-1,-1
6154,circle,8,#008000,0,5,7
6155,square,12,#008000,58,0,-4
6156,hexagon,12,#00FFFF,20,-4,2
6157,square,10,#00FFFF,42,3,-2
6158,pentagon,11,#FFFF00,66,-4,3
6159,triangle,6,#FFFF00,1,0,2
6160,square,13,#008000,52,-3,-3
6161,circle,13,#000000,0,0,2
6162,triangle,7,#FF00FF,108,-4,8
6163,hexagon,11,#00FFFF,38,2,-4
6164,hexagon,5,#FFFF00,27,-7,4
6165,pentagon,6,#000000,49,8,-3
6166,circle,12,#FF0000,0,0,3
6167,circle,14,#800080,0,-1,-2
6168,triangle,14,#FFFF00,109,1,-1
6169,square,7,#FF00FF,55,5,-4
6170,pentagon,11,#000000,10,-2,0
6171,circle,11,#FF00FF,0,3,-2
6172,triangle,6,#800080,3,-4,4
6173,pentagon,15,#008000,54,-1,-1
6174,pentagon,8,#FF00FF,71,1,-2
6175,circle,8,#FF00FF,0,2,3
6176,triangle,8,#000000,114,2,-6
6177,triangle,5,#FF00FF,30,10,-10
6178,square,12,#00FF00,83,2,-3
6179,pentagon,6,#00FFFF,43,2,4
6180,circle,11,#00FFFF,0,-3,0
6181,pentagon,10,#008000,43,5,3
6182,hexagon,14,#0000FF,38,-1,-2
6183,square,13,#00FFFF,63,-2,-1
6184,triangle,15,#00FFFF,76,0,0
6185,hexagon,11,#FF0000,16,-5,2
6186,circle,11,#00FFFF,0,2,3
6187,hexagon,14,#000000,54,-2,-2
6188,pentagon,9,#0000FF,47,2,2
6189,circle,14,#008000,0,1,0
6190,hexagon,11,#00FFFF,58,1,4
6191,hexagon,7,#00FFFF,24,4,0
6192,pentagon,8,#000000,61,-4,6
6193,pentagon,11,#FF00FF,56,3,0
6194,pentagon,13,#800080,37,-1,-3
6195,triangle,7,#008000,53,1,-6
6196,triangle,7,#FFFF00,8,6,8
6197,triangle,7,#00FF00,102,0,-8
6198,square,14,#800080,23,1,1
6199,square,11,#00FFFF,20,-2,-5
6200,triangle,7,#800080,86,-8,-8
6201,pentagon,9,#FF00FF,38,-6,-5
6202,circle,9,#00FF00,0,-2,-3
6203,pentagon,5,#FFA500,46,10,-6
6204,circle,7,#FFA500,0,4,1
6205,circle,7,#00FFFF,0,-3,2
6206,pentagon,15,#00FF00,65,0,0
6207,pentagon,9,#FF00FF,13,-2,6
6208,hexagon,9,#FF0000,41,-7,-3
6209,hexagon,7,#FF0000,11,-5,7
6210,pentagon,13,#000000,29,2,2
6211,pentagon,15,#00FF00,63,0,0
6212,hexagon,9,#FF00FF,29,-5,4
6213,pentagon,15,#FF00FF,16,-1,-1
6214,pentagon,9,#FF0000,71,3,-4
6215,triangle,6,#FFA500,15,-4,-6
6216,pentagon,7,#00FFFF,16,5,-4
6217,triangle,14,#FFA500,106,1,1
6218,circle,14,#FFA500,0,-2,-2
6219,triangle,7,#0000FF,94,0,4
6220,triangle,11,#800080,74,-4,-1
6221,pentagon,7,#0000FF,18,1,5
6222,square,14,#008000,53,-2,1
6223,square,10,#800080,61,-1,-5
6224,square,9,#0000FF,32,5,0
6225,square,11,#FF0000,87,-2,-5
6226,pentagon,14,#FFFF00,25,1,1
6227,circle,14,#008000,0,-2,-2
6228,pentagon,12,#008000,71,2,-2
6229,triangle,11,#00FFFF,27,-3,-1
6230,hexagon,9,#FFA500,4,-1,2
6231,pentagon,7,#800080,62,5,5
6232,circle,5,#FF0000,0,8,-4
6233,circle,12,#00FF00,0,-1,1
6234,pentagon,6,#000000,54,0,-3
6235,triangle,6,#FFFF00,83,-2,9
6236,pentagon,10,#008000,9,-2,2
6237,triangle,9,#FF00FF,41,-6,1
6238,hexagon,7,#00FFFF,27,5,2
6239,hexagon,8,#FFA500,39,-3,-4
6240,hexagon,11,#FF0000,17,-1,3
6241,triangle,12,#FF0000,117,-2,0
6242,square,11,#0000FF,31,-1,2
6243,pentagon,11,#00FFFF,0,-1,-3
6244,pentagon,9,#0000FF,18,3,-6
6245,triangle,8,#FF00FF,40,1,-2
6246,square,10,#800080,0,2,0
6247,square,9,#00FFFF,8,4,3
6248,circle,11,#FF0000,0,4,-1
6249,square,7,#FF00FF,3,0,1
6250,pentagon,12,#FF0000,16,2,-4
6251,square,14,#00FF00,10,-2,-2
6252,circle,5,#800080,0,-10,-9
6253,square,7,#000000,53,-4,3
6254,square,13,#FFA500,27,-3,-1
6255,square,14,#FFFF00,2,-2,0
6256,pentagon,6,#0000FF,27,-10,7
6257,square,12,#FFA500,52,-4,1
6258,circle,11,#000000,0,4,-2
6259,triangle,9,#008000,53,-3,1
6260,triangle,9,#000000,110,-4,3
6261,triangle,8,#008000,50,-2,-8
6262,circle,10,#FF00FF,0,-4,-4
6263,circle,15,#FF0000,0,-1,-1
6264,circle,5,#00FF00,0,4,-6
6265,hexagon,6,#FF0000,40,-8,-5
6266,square,6,#FF00FF,68,-2,8
6267,triangle,10,#FF0000,28,5,-2
6268,pentagon,13,#000000,11,2,-2
6269,hexagon,11,#FF00FF,45,0,3
6270,hexagon,8,#000000,33,1,-4
6271,circle,5,#0000FF,0,-1,-1
6272,triangle,14,#00FF00,77,1,-1
6273,square,6,#800080,43,3,-6
6274,circle,13,#0000FF,0,-2,-1
6275,pentagon,8,#0000FF,52,-5,6
6276,hexagon,6,#FF0000,32,-10,5
6277,pentagon,13,#FFFF00,7,-1,-3
6278,pentagon,10,#000000,49,-2,3
6279,triangle,8,#FFFF00,48,-8,-4
6280,hexagon,12,#00FFFF,33,0,2
6281,triangle,12,#FF00FF,76,1,1
6282,square,12,#008000,48,-3,1
6283,square,5,#00FFFF,2,-4,8
6284,square,11,#0000FF,66,-1,-2
6285,square,11,#FFA500,65,-3,-4
6286,square,10,#0000FF,34,0,-4
6287,hexagon,7,#000000,7,6,-5
6288,square,8,#800080,88,-1,4
6289,hexagon,5,#00FFFF,57,-7,-9
6290,hexagon,12,#000000,26,-4,-3
6291,triangle,8,#FF00FF,69,-4,4
6292,triangle,11,#000000,97,-4,1
6293,hexagon,11,#800080,35,0,-1
6294,pentagon,8,#FF00FF,2,-3,6
6295,triangle,5,#FF0000,104,0,-4
6296,pentagon,11,#008000,31,-2,3
6297,pentagon,12,#FF00FF,29,-1,-4
6298,pentagon,10,#00FF00,47,-4,-1
6299,circle,6,#FFFF00,0,-2,-10
6300,circle,12,#FFA500,0,-2,-4
6301,triangle,15,#008000,44,-1,0
6302,triangle,5,#0000FF,95,-9,-8
6303,hexagon,13,#0000FF,8,-1,0
6304,square,11,#FF00FF,72,-5,-1
6305,square,8,#FF00FF,43,-3,4
